manuscript_panel,measurement,unit,value,genotype_raw,rnai,replicate_id
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.5837541774736417,Complex I RNAi,Complex I,b26
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.600486876684894,Complex I RNAi,Complex I,b26
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.6455189657962581,Complex I RNAi,Complex I,b26
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.6648526151065568,Complex I RNAi,Complex I,b26
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.9140485194903512,Complex V RNAi,Complex V,b27
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.9395459659074976,Complex V RNAi,Complex V,b27
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.9773686137599594,Complex V RNAi,Complex V,b27
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.9124932135433592,Complex V RNAi,Complex V,b27
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.9449440739327494,Complex V RNAi,Complex V,b27
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.8687939019896482,Complex V RNAi,Complex V,b27
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.8534729420225886,Complex V RNAi,Complex V,b28
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),1.0480106098723292,Complex V RNAi,Complex V,b28
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),1.0243460316942532,Complex V RNAi,Complex V,b28
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),1.0881877516506988,Complex V RNAi,Complex V,b28
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),1.2633415218441613,Complex V RNAi,Complex V,b28
